job_type,average_salary
"Electronic Equipment Installers and Repairers, Motor Vehicles","45,720"
"Electronics Engineers, Except Computer","118,460"
Elementary and Middle School Teachers,"67,930"
"Elementary School Teachers, Except Special Education","68,000"
Elevator and Escalator Installers and Repairers,"93,960"
"Eligibility Interviewers, Government Programs","50,020"
Embalmers,"54,120"
Embalmers and Crematory Operators,"49,440"
Emergency Management Directors,"88,890"
Emergency Medical Technicians,"40,120"
Emergency Medical Technicians and Paramedics,"45,000"
Emergency Medicine Physicians,"316,600"
Engine and Other Machine Assemblers,"51,980"
"Engineering and Architecture Teachers, Postsecondary","112,940"
"Engineering Teachers, Postsecondary","114,470"
"Engineering Technologists and Technicians, Except Drafters","66,780"
"Engineering Technologists and Technicians, Except Drafters, All Other","70,550"
Engineers,"107,170"
"Engineers, All Other","111,280"
"English Language and Literature Teachers, Postsecondary","83,130"
"Entertainers and Performers, Sports and Related Workers","85,030"
"Entertainers and Performers, Sports and Related Workers, All Other",*
Entertainment and Recreation Managers,"82,530"
"Entertainment and Recreation Managers, Except Gambling","79,750"
Entertainment Attendants and Related Workers,"29,830"
"Entertainment Attendants and Related Workers, All Other","30,810"
Environmental Engineering Technologists and Technicians,"58,020"
Environmental Engineers,"101,670"
Environmental Science and Geoscience Technicians,"56,140"
"Environmental Science and Protection Technicians, Including Health","53,970"
"Environmental Science Teachers, Postsecondary","91,450"
Environmental Scientists and Geoscientists,"89,350"
"Environmental Scientists and Specialists, Including Health","83,820"
Epidemiologists,"85,880"
Etchers and Engravers,"40,950"
"Excavating and Loading Machine and Dragline Operators, Surface Mining","53,490"
Executive Secretaries and Executive Administrative Assistants,"71,060"
Exercise Physiologists,"55,820"
Exercise Trainers and Group Fitness Instructors,"50,170"
"Explosives Workers, Ordnance Handling Experts, and Blasters","61,560"
Extraction Workers,"53,850"
"Extraction Workers, All Other","53,220"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","42,580"
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","42,770"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","41,940"
Fabric and Apparel Patternmakers,"66,820"
Facilities Managers,"105,970"
Fallers,"58,130"
"Family and Consumer Sciences Teachers, Postsecondary","89,840"
Family Medicine Physicians,"224,460"
Farm and Home Management Educators,"58,450"
Farm Equipment Mechanics and Service Technicians,"49,930"
Farm Labor Contractors,"54,630"
"Farmers, Ranchers, and Other Agricultural Managers","83,790"
"Farming, Fishing, and Forestry Occupations","37,870"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","34,300"
"Farmworkers, Farm, Ranch, and Aquacultural Animals","36,290"
Fashion Designers,"85,760"
Fast Food and Counter Workers,"28,130"
Fence Erectors,"43,780"
Fiberglass Laminators and Fabricators,"41,280"
File Clerks,"39,560"
Film and Video Editors,"80,990"
Financial Analysts and Advisors,"116,770"
Financial and Investment Analysts,"108,790"
Financial Clerks,"45,600"
"Financial Clerks, All Other","49,710"
Financial Examiners,"95,610"
Financial Managers,"166,050"
Financial Risk Specialists,"116,140"
Financial Specialists,"92,290"
"Financial Specialists, All Other","83,580"
"Fine Artists, Including Painters, Sculptors, and Illustrators","69,870"
Fire Inspectors,"74,170"
Fire Inspectors and Investigators,"76,910"
Firefighters,"56,310"
Firefighting and Prevention Workers,"57,200"
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,"50,980"
First-Line Supervisors of Construction Trades and Extraction Workers,"77,650"
First-Line Supervisors of Correctional Officers,"70,190"
First-Line Supervisors of Entertainment and Recreation Workers,"50,310"
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","48,630"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","58,820"
First-Line Supervisors of Firefighting and Prevention Workers,"84,810"
First-Line Supervisors of Food Preparation and Serving Workers,"41,020"
First-Line Supervisors of Gambling Services Workers,"56,400"
First-Line Supervisors of Housekeeping and Janitorial Workers,"47,430"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","55,770"
First-Line Supervisors of Law Enforcement Workers,"90,710"
"First-Line Supervisors of Mechanics, Installers, and Repairers","76,020"
First-Line Supervisors of Non-Retail Sales Workers,"96,890"
First-Line Supervisors of Office and Administrative Support Workers,"65,510"
First-Line Supervisors of Personal Service Workers,"47,330"
First-Line Supervisors of Police and Detectives,"99,410"
First-Line Supervisors of Production and Operating Workers,"69,100"
"First-Line Supervisors of Protective Service Workers, All Other","63,730"
First-Line Supervisors of Retail Sales Workers,"50,130"
First-Line Supervisors of Sales Workers,"58,450"
First-Line Supervisors of Security Workers,"54,750"
First-Line Supervisors of Transportation and Material Moving Workers,"60,850"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","60,850"
Fish and Game Wardens,"59,860"
Flight Attendants,"67,020"
"Floor Layers, Except Carpet, Wood, and Hard Tiles","54,870"
Floor Sanders and Finishers,"49,330"
Floral Designers,"34,310"
Food and Beverage Serving Workers,"30,540"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","39,770"
Food Batchmakers,"38,710"
Food Cooking Machine Operators and Tenders,"37,760"
Food Preparation and Serving Related Occupations,"32,130"
"Food Preparation and Serving Related Workers, All Other","31,990"
Food Preparation Workers,"30,720"
Food Processing Workers,"36,300"
"Food Processing Workers, All Other","35,430"
Food Science Technicians,"51,320"
